b_0,b_1,b_2,theta_00,theta_01,theta_02,theta_10,theta_11,theta_12,theta_20,theta_21,theta_22,sigma_00,sigma_01,sigma_02,sigma_10,sigma_11,sigma_12,sigma_20,sigma_21,sigma_22
rmse,0.04067185623021267,0.03513585665437437,0.08218741272899728,0.016035920581205145,0.011010013727747917,0.0073558594637256275,0.011010013727747917,0.015585508463287379,0.00841713002240354,0.0073558594637256275,0.00841713002240354,0.0156399508146454,0.01405628281066625,0.0,0.0,0.0,0.010234545712464125,0.0,0.0,0.0,0.005952134308140919
mae,0.032517568243643755,0.027901127733799318,0.06499701449143801,0.012719880768942086,0.008843457947753715,0.005969563205921673,0.008843457947753715,0.012294730013165642,0.006738676897407035,0.005969563205921673,0.006738676897407035,0.012435512255088883,0.011360624326550463,0.0,0.0,0.0,0.008154148926933665,0.0,0.0,0.0,0.005014150972499616
