b_0,b_1,b_2,theta_00,theta_01,theta_02,theta_10,theta_11,theta_12,theta_20,theta_21,theta_22,sigma_00,sigma_01,sigma_02,sigma_10,sigma_11,sigma_12,sigma_20,sigma_21,sigma_22
rmse,0.0013184300458290992,0.0010661875213212072,0.0012819021293221408,0.023393622276646257,0.0,0.0,0.0,0.023089852782721524,0.0,0.0,0.0,0.02351738157427492,0.015822620746219478,0.011325795947175026,0.011934621551737697,0.011325795947175026,0.015924796761236527,0.011210048053292307,0.011934621551737697,0.011210048053292307,0.01677139576875707
mae,0.001046731593025319,0.0008479257541894298,0.0010362860774515079,0.01858189325353578,0.0,0.0,0.0,0.01860104124081852,0.0,0.0,0.0,0.018561700871452542,0.012530362538591439,0.008926226487585424,0.009531933051708975,0.008926226487585424,0.012729223784845124,0.008882328860507537,0.009531933051708975,0.008882328860507537,0.013255876379942154
