b_0,b_1,b_2,theta_00,theta_01,theta_02,theta_10,theta_11,theta_12,theta_20,theta_21,theta_22,sigma_sqrd_00,sigma_sqrd_01,sigma_sqrd_02,sigma_sqrd_10,sigma_sqrd_11,sigma_sqrd_12,sigma_sqrd_20,sigma_sqrd_21,sigma_sqrd_22
7.999071838389602e-05,0.9985561533824716,2.9998182767652657,0.4769753335240291,0.10651700981778861,0.18343697418494298,0.10651700981778861,0.5095385484984816,0.10763487167120103,0.18343697418494298,0.10763487167120103,0.5094049193046019,0.001056002398509871,-0.0,0.0,-0.0,0.0010286107463974552,0.0,0.0,0.0,0.0009825377372128046
-2.887522049542813e-05,1.001087439437846,3.0000885728110234,0.4994908088988801,0.08144130933395226,0.19632735493177206,0.08144130933395226,0.4886918457123297,0.0930384631514989,0.19632735493177206,0.0930384631514989,0.524163687606854,0.0009933944347180015,0.0,0.0,0.0,0.0009781057221901095,-0.0,0.0,-0.0,0.0010209222521968002
-0.0002969950755011709,0.9995681023045043,3.000235050674056,0.5175024262774366,0.09167694051417358,0.19093073718731565,0.09167694051417358,0.4787534608548244,0.10763878448443762,0.19093073718731565,0.10763878448443762,0.4617976296051283,0.0010322418876802793,0.0,0.0,0.0,0.00112873036362273,0.0,0.0,0.0,0.0009809193413891665
0.0011357449712877752,0.9996727052564172,2.999549754452735,0.5273698434901596,0.09323109451345979,0.1937454369939251,0.09323109451345979,0.5070679385121487,0.08869054173550005,0.1937454369939251,0.08869054173550005,0.4833127385902991,0.00101076102427568,0.0,0.0,0.0,0.0010235979664379783,-0.0,0.0,-0.0,0.0010093117954540023
0.0001907621120547127,1.0000186653654277,3.0000196069525327,0.486509890464036,0.09449587276275975,0.19833549993803898,0.09449587276275975,0.495539171074937,0.09378732712631697,0.19833549993803898,0.09378732712631697,0.4955209014278884,0.0010245890946170508,0.0,0.0,0.0,0.000988646491450892,0.0,0.0,0.0,0.001039355836291978
0.0023238978554296456,0.9993151410294902,2.9991808519469134,0.4992647923830522,0.096460369881295,0.1879912836395287,0.096460369881295,0.498930826245242,0.09878435253004045,0.1879912836395287,0.09878435253004045,0.48955554844525884,0.0010887874128760464,0.0,0.0,0.0,0.001056632550802207,-0.0,0.0,-0.0,0.001008220221250763
0.0009655360286792246,1.0004302197787025,2.998269302411814,0.5078827715129356,0.09458680114698391,0.2120146290068084,0.09458680114698391,0.5134871551150826,0.1075117294157952,0.2120146290068084,0.1075117294157952,0.493887667812471,0.0009568005042792771,0.0,0.0,0.0,0.0010527490838344801,0.0,0.0,0.0,0.0009603134103356213
6.0945801279393646e-05,1.002809944456622,2.9976648560630106,0.4898981944966304,0.08947353900843008,0.19470728630129003,0.08947353900843008,0.49659609723080544,0.1019060092262224,0.19470728630129003,0.1019060092262224,0.4966688957528376,0.0010699906953896075,0.0,0.0,0.0,0.0010204302254125496,-0.0,0.0,-0.0,0.0010069094348467216
-0.000404518345158724,1.000335285653605,3.0003503748390434,0.4833011154186641,0.09582904447134728,0.1856364155951352,0.09582904447134728,0.49141141145874484,0.10108283239940417,0.1856364155951352,0.10108283239940417,0.49180119547750334,0.000987854387104278,-0.0,0.0,-0.0,0.0010232999411794873,0.0,0.0,0.0,0.0009822453260873547
0.0007807083348079461,0.9996571552545745,3.000378245828685,0.4873659905185807,0.08285032400285267,0.184914843846768,0.08285032400285267,0.509248891062806,0.06903216643100636,0.184914843846768,0.06903216643100636,0.5005626325551904,0.0009851071745350533,-0.0,0.0,-0.0,0.0010318089692423508,0.0,0.0,0.0,0.0009987753766108687
-0.0003435667946804258,0.9988958165139968,2.9999792227182915,0.4974395899856171,0.09721414849539979,0.20370688727942032,0.09721414849539979,0.49486204704440123,0.09511197908801347,0.20370688727942032,0.09511197908801347,0.5021258076527461,0.0010182409848137463,0.0,0.0,0.0,0.0009498881856045629,0.0,0.0,0.0,0.001022239735774654
0.0002299500191448372,0.9980659384065268,3.001219326113328,0.5170660446184892,0.1153414003350474,0.20928460270982246,0.1153414003350474,0.5243453385078638,0.1072532568887309,0.20928460270982246,0.1072532568887309,0.504698520478664,0.0010330541923789527,-0.0,0.0,-0.0,0.001034017639324122,0.0,0.0,0.0,0.0010676806485539335
0.0025523570182809973,1.0002522470935913,2.9966969591231147,0.5003712867720947,0.0899962982148188,0.21716459258297313,0.0899962982148188,0.48998521305464876,0.11931668086309527,0.21716459258297313,0.11931668086309527,0.5082425692659835,0.0011053954432069457,0.0,0.0,0.0,0.0010229355976977808,0.0,0.0,0.0,0.0010895503507780241
0.000918800964360966,1.0010209454174648,2.998334007114483,0.5143848364512211,0.10576839419749887,0.206350493790571,0.10576839419749887,0.4878773357552318,0.1089666211326685,0.206350493790571,0.1089666211326685,0.497721674606995,0.001024990783317375,0.0,0.0,0.0,0.0009645323841500609,0.0,0.0,0.0,0.0009821581503909834
-0.0015104943417817292,0.9993606337939186,3.0006956684148043,0.47868847045892987,0.0978202692779643,0.1900536035732524,0.0978202692779643,0.5106398327886351,0.07082773768593072,0.1900536035732524,0.07082773768593072,0.4897982587295787,0.0010395837121559887,0.0,0.0,0.0,0.0009999442219799965,0.0,0.0,0.0,0.0010043262029852092
0.0014786540660851367,0.9986523804966999,2.9985543221505324,0.5006724417371312,0.08747518817823312,0.19731601259104817,0.08747518817823312,0.49363188412422165,0.1117010559461111,0.19731601259104817,0.1117010559461111,0.498641165094317,0.0009528851571125651,-0.0,0.0,-0.0,0.001057323827051406,0.0,0.0,0.0,0.0010936769058846336
-0.00030746466731424945,1.0003590989635076,3.0014928574136372,0.5127025925382468,0.1029385851659905,0.19967276364318837,0.1029385851659905,0.49696902486724126,0.0922028931639323,0.19967276364318837,0.0922028931639323,0.5090103782610421,0.000992036112105377,0.0,0.0,0.0,0.0010285939989556326,0.0,0.0,0.0,0.0010617513777958529
-0.0015887161557504035,1.0000005813420254,3.000665089662415,0.4718480804143198,0.09400515773567758,0.1816966525845955,0.09400515773567758,0.5029119313691329,0.11572575032099636,0.1816966525845955,0.11572575032099636,0.4899435194146286,0.0009382536794226166,-0.0,0.0,-0.0,0.0010379501355319435,0.0,0.0,0.0,0.0010166206898600102
-0.0003586773572275698,1.000112181231746,2.9997526746899816,0.5036024275101959,0.08959420664504006,0.18274434439877973,0.08959420664504006,0.48664757901472067,0.10719209109670878,0.18274434439877973,0.10719209109670878,0.487699382403284,0.0010373244420527302,0.0,0.0,0.0,0.0009868403033993077,0.0,0.0,0.0,0.0010116343547938106
0.002371991062812888,1.001414841652416,2.9990713876006647,0.5143574296871795,0.08693407485462552,0.19821951413551067,0.08693407485462552,0.48398066508935167,0.11490227798768207,0.19821951413551067,0.11490227798768207,0.49788478244006545,0.001083718780740887,0.0,0.0,0.0,0.0009626354335594446,-0.0,0.0,-0.0,0.0010941920402388705
-0.0014768497811069752,1.0002256902224413,2.9991501423988742,0.48641972432388275,0.09074305693774173,0.1937517911869754,0.09074305693774173,0.5033960825785004,0.09332395907312488,0.1937517911869754,0.09332395907312488,0.5072396587639496,0.0010452689350883427,0.0,0.0,0.0,0.000992996084824309,0.0,0.0,0.0,0.0010709378451261415
