T,b_0,b_1,theta_00,theta_01,theta_10,theta_11,sigma_sqrd_00,sigma_sqrd_01,sigma_sqrd_10,sigma_sqrd_11
100.0,0.6689145377031256,4.538474994733308,0.0,0.0,0.0,0.0,1.0230028344903692,-0.0,-0.0,7.298434079633934
100.0,0.9275650085115186,5.925258776472358,0.0,0.0,0.0,0.0,1.0571943335339884,-0.0,-0.0,8.318007325061114
100.0,0.911559092943361,2.015953424054658,0.0,0.0,0.0,0.0,0.9403649502347418,-0.0,-0.0,8.09657327179751
100.0,0.9793153690470432,3.6259619908341048,0.0,0.0,0.0,0.0,1.117514479380559,-0.0,-0.0,7.76659203824226
100.0,1.0138589817951396,0.6733059621370865,0.0,0.0,0.0,0.0,1.044812022296546,0.0,0.0,9.82777260643986
100.0,0.4489464097462543,4.068808887808522,0.0,0.0,0.0,0.0,1.0752907256320985,0.0,0.0,8.12463558517357
100.0,0.38982071957687436,5.52006014306907,0.0,0.0,0.0,0.0,1.0611358515796212,-0.0,-0.0,11.053444867152923
100.0,2.041097314902824,1.2007137596410047,0.0,0.0,0.0,0.0,1.0584841268350371,-0.0,-0.0,8.906577593845922
100.0,0.15326570845033305,5.793157155180461,0.0,0.0,0.0,0.0,1.0077922533375836,0.0,0.0,8.388746481160593
100.0,0.9117190734349546,3.2738963771062117,0.0,0.0,0.0,0.0,1.2323937908093177,-0.0,-0.0,8.401501914189542
100.0,1.2173851649383316,1.6493191255997623,0.0,0.0,0.0,0.0,1.0617211639571,0.0,0.0,7.525308262996024
100.0,0.08113796274519171,6.042462539332146,0.0,0.0,0.0,0.0,0.9772610180579382,-0.0,-0.0,10.386324567912235
100.0,0.9660090652445702,5.238211793432816,0.0,0.0,0.0,0.0,1.0629307394311092,-0.0,-0.0,9.720602993724489
100.0,-0.41112201914870233,6.109973888188882,0.0,0.0,0.0,0.0,1.1067651184746625,0.0,0.0,9.137545190576573
100.0,0.8933857070177471,3.0418486993770872,0.0,0.0,0.0,0.0,1.0669668451832313,0.0,0.0,9.018902999081451
100.0,1.1883958703676105,3.5976824302176595,0.0,0.0,0.0,0.0,0.9916839148671457,-0.0,-0.0,9.2995711139361
100.0,1.0504919479739692,3.371624421089097,0.0,0.0,0.0,0.0,1.040778982007977,-0.0,-0.0,8.130672879253414
100.0,1.36329313722977,0.9659644886182625,0.0,0.0,0.0,0.0,1.030741340338874,-0.0,-0.0,8.770420559288791
100.0,0.8708958589964925,3.1085658037675716,0.0,0.0,0.0,0.0,1.039673653444542,-0.0,-0.0,8.607880116283456
100.0,0.9906891716805962,3.658000856510412,0.0,0.0,0.0,0.0,1.0204066847889075,0.0,0.0,8.53493981871628
100.0,0.8590996778055131,1.1669042955897058,0.0,0.0,0.0,0.0,1.2157769414893176,0.0,0.0,8.965324644862857
100.0,0.7063395684750987,4.401809146345337,0.0,0.0,0.0,0.0,1.065164586865613,-0.0,-0.0,9.193667812001168
100.0,1.4797092148388036,1.445623479953633,0.0,0.0,0.0,0.0,1.136850878803106,0.0,0.0,9.753473234875534
100.0,0.5848640616676971,4.047609212367977,0.0,0.0,0.0,0.0,0.966853052486531,0.0,0.0,7.534802527283813
100.0,0.2068110154617065,5.398543478336558,0.0,0.0,0.0,0.0,1.048213706742142,-0.0,-0.0,8.876790658412096
100.0,1.8502546150945598,0.2192295294309432,0.0,0.0,0.0,0.0,1.0288193069161855,0.0,0.0,9.325189925413389
100.0,0.6176841984788497,3.759375667678661,0.0,0.0,0.0,0.0,1.0302503112363706,-0.0,-0.0,8.094130634566358
100.0,0.5092843567667382,3.1413962464039686,0.0,0.0,0.0,0.0,0.9372695061237262,0.0,0.0,10.240329508197137
100.0,0.7495242651479472,2.176561700230812,0.0,0.0,0.0,0.0,1.0109232174726366,0.0,0.0,8.044789742278986
100.0,1.325813589663987,2.0775210701569855,0.0,0.0,0.0,0.0,0.9983209180489598,0.0,0.0,8.100783915270064
100.0,0.7305881481560164,4.112721975398503,0.0,0.0,0.0,0.0,1.0253124835254366,0.0,0.0,8.623542568171338
100.0,0.8438915836784923,3.4225627905175147,0.0,0.0,0.0,0.0,1.0044988461080475,0.0,0.0,9.42643834194791
100.0,0.6435899547784719,3.275557182548054,0.0,0.0,0.0,0.0,0.9020787452541481,-0.0,-0.0,9.995742529228297
100.0,1.397764649370706,2.506554154249522,0.0,0.0,0.0,0.0,1.1555719271951421,0.0,0.0,9.30269562614926
100.0,0.9407819287519003,5.584822415264866,0.0,0.0,0.0,0.0,0.9503022033601293,-0.0,-0.0,7.915839629375646
100.0,0.9581921087567609,3.573453912557062,0.0,0.0,0.0,0.0,0.9854309742650046,0.0,0.0,7.303126089887965
100.0,1.3802017532275546,1.5432139174962565,0.0,0.0,0.0,0.0,1.133391177507528,0.0,0.0,9.220378728334286
100.0,1.482122051504355,1.1288098958649762,0.0,0.0,0.0,0.0,1.0810249269845977,0.0,0.0,9.840870666037986
100.0,0.2606894650226756,5.0886067555984456,0.0,0.0,0.0,0.0,1.0454368336559623,0.0,0.0,10.153962479285282
100.0,0.6904450218505416,4.118174939437309,0.0,0.0,0.0,0.0,1.131837840769144,0.0,0.0,9.620925800946171
100.0,1.5804333639530488,2.4343415552239316,0.0,0.0,0.0,0.0,1.1393178777712165,-0.0,-0.0,9.263733826984863
100.0,2.023558726237773,0.9588079361045658,0.0,0.0,0.0,0.0,1.1264413975638061,0.0,0.0,8.137985818556707
100.0,-0.14685220792895096,5.924510865568269,0.0,0.0,0.0,0.0,1.0381162154398569,0.0,0.0,9.192815882308315
100.0,0.5540566151767641,2.3988590575758475,0.0,0.0,0.0,0.0,1.1147836966719793,-0.0,-0.0,9.238004165305234
100.0,0.8883088291064477,2.500492257282369,0.0,0.0,0.0,0.0,0.9371403418903397,-0.0,-0.0,8.254553129696244
100.0,1.2385177247260066,3.2929884322303034,0.0,0.0,0.0,0.0,1.1365240376391743,0.0,0.0,8.923969653139554
100.0,0.39793557688158154,3.832685926874664,0.0,0.0,0.0,0.0,0.9346688578749963,-0.0,-0.0,9.006168720286633
100.0,1.1657507066537756,2.9157553846719533,0.0,0.0,0.0,0.0,0.9590828326779071,0.0,0.0,10.264380311775895
100.0,0.7711861108445812,4.324302700184858,0.0,0.0,0.0,0.0,1.0427279325276666,0.0,0.0,10.194667985102031
100.0,0.5722572931539477,2.640592312605346,0.0,0.0,0.0,0.0,1.2240151482651151,0.0,0.0,8.921968988989102
100.0,1.0850614530058353,1.031979809545801,0.0,0.0,0.0,0.0,1.1275756673977575,-0.0,-0.0,9.551137779996118
100.0,0.8860324442713475,5.442857651764214,0.0,0.0,0.0,0.0,1.1203596306849866,-0.0,-0.0,8.564026363384498
100.0,1.1171818044651338,3.1973309845880693,0.0,0.0,0.0,0.0,1.102423831557565,-0.0,-0.0,8.508397076522074
100.0,1.5617804786686007,1.2506946053645756,0.0,0.0,0.0,0.0,0.9540441535177564,-0.0,-0.0,9.583123169787315
100.0,1.486725824633569,4.920946169237689,0.0,0.0,0.0,0.0,1.2835337668071556,0.0,0.0,9.089672890804971
100.0,1.0221935092323837,3.1461413495885835,0.0,0.0,0.0,0.0,1.016080968517423,-0.0,-0.0,9.447447667789849
100.0,-0.16589098834773197,7.538632990045482,0.0,0.0,0.0,0.0,1.030924588016176,0.0,0.0,9.802376227096698
100.0,0.4884630723738759,3.7456854035172946,0.0,0.0,0.0,0.0,0.8787505671984793,0.0,0.0,8.84688580176896
100.0,1.7140997439292065,0.9324953688034215,0.0,0.0,0.0,0.0,0.7409703729021082,-0.0,-0.0,8.995918952227756
100.0,1.3554311597907045,2.3421763061926852,0.0,0.0,0.0,0.0,1.1853540740916653,0.0,0.0,8.950682203832336
100.0,0.6696130560201684,3.7997891854731822,0.0,0.0,0.0,0.0,1.2242254763830611,0.0,0.0,8.703572091399048
