T,b_0,b_1,theta_00,theta_01,theta_10,theta_11,sigma_sqrd_00,sigma_sqrd_01,sigma_sqrd_10,sigma_sqrd_11
100.0,0.312572974547786,6.349866435922625,0.0,0.0,0.0,0.0,1.0211888973838905,-0.0,-0.0,5.408955826649441
100.0,-0.13001082012897672,11.344010666115794,0.0,0.0,0.0,0.0,1.0545390611341223,-0.0,-0.0,6.380822939997495
100.0,1.3654538933361233,-0.22741322974049277,0.0,0.0,0.0,0.0,0.9399227226974285,-0.0,-0.0,5.777031513607485
100.0,0.8488848983824533,4.248979564662237,0.0,0.0,0.0,0.0,1.112386330266536,-0.0,-0.0,5.69140986277867
100.0,1.57391910928411,-2.1290308616375517,0.0,0.0,0.0,0.0,1.0438356670006028,0.0,0.0,7.820867147637244
100.0,0.2972172491510671,4.774554026446964,0.0,0.0,0.0,0.0,1.0656059583713513,0.0,0.0,6.05209496932779
100.0,-0.487727132035785,9.985860846556116,0.0,0.0,0.0,0.0,1.063049476987587,-0.0,-0.0,8.023394699506529
100.0,2.6655295443524216,-1.9722850826654192,0.0,0.0,0.0,0.0,1.0618741008282637,-0.0,-0.0,7.1195734401913064
100.0,-0.5889313424495586,9.572130209454073,0.0,0.0,0.0,0.0,1.0011784479235863,-0.0,-0.0,6.480925283317848
100.0,0.9581927176286262,3.015897267025295,0.0,0.0,0.0,0.0,1.229750872565115,-0.0,-0.0,6.693462298424438
100.0,1.356093622094099,1.0024036121881026,0.0,0.0,0.0,0.0,1.061810188102217,0.0,0.0,5.70654858800244
100.0,-0.55959335578956,9.289461402901615,0.0,0.0,0.0,0.0,0.9767268214704931,-0.0,-0.0,7.847789480252881
100.0,0.4353463437118625,7.954856383088462,0.0,0.0,0.0,0.0,1.0649932284498222,-0.0,-0.0,6.879904103859351
100.0,-1.19624858624602,10.094502970416489,0.0,0.0,0.0,0.0,1.1019412293006277,0.0,0.0,6.5912850721884375
100.0,1.0309844654026192,2.325574954486061,0.0,0.0,0.0,0.0,1.0690777911372966,-0.0,-0.0,7.7204415310576735
100.0,1.2042492995693328,3.4885932066571734,0.0,0.0,0.0,0.0,0.9930590470420246,-0.0,-0.0,6.984076205432659
100.0,0.8727733326293793,4.260713691318902,0.0,0.0,0.0,0.0,1.0430410441839926,-0.0,-0.0,5.860443867924797
100.0,2.019315477524769,-2.3401705721569437,0.0,0.0,0.0,0.0,1.0289586914252298,-0.0,-0.0,6.791438266357151
100.0,0.6141893114758306,4.5371981723377175,0.0,0.0,0.0,0.0,1.035380333785039,-0.0,-0.0,6.710514010680698
100.0,0.8414643916079259,4.368738245035608,0.0,0.0,0.0,0.0,1.0104495421092385,0.0,0.0,6.354101300649262
100.0,1.4936109088218985,-2.106703063579407,0.0,0.0,0.0,0.0,1.2144541559934363,0.0,0.0,6.655156549605258
100.0,0.4323822370128871,5.787093719953331,0.0,0.0,0.0,0.0,1.066054243913059,-0.0,-0.0,7.204980578661699
100.0,1.8280942045949784,-0.33492283145384083,0.0,0.0,0.0,0.0,1.126344832907218,0.0,0.0,7.310835446436666
100.0,0.5915835199892515,4.015308778827054,0.0,0.0,0.0,0.0,0.9637936480362136,0.0,0.0,5.837781100551959
100.0,-0.34817368514415326,8.212252727685659,0.0,0.0,0.0,0.0,1.0452031951636664,-0.0,-0.0,6.950756009062437
100.0,2.3809190589321294,-2.477842988553498,0.0,0.0,0.0,0.0,1.0178580019819297,0.0,0.0,7.32383562252501
100.0,0.41037996259484855,4.751840805839709,0.0,0.0,0.0,0.0,1.032551775532716,-0.0,-0.0,6.52569553980469
100.0,0.3279313617773948,4.071898134182983,0.0,0.0,0.0,0.0,0.930884460927547,0.0,0.0,8.602972130926403
100.0,0.7998913156305105,1.9281863990955195,0.0,0.0,0.0,0.0,1.0030198313214078,0.0,0.0,6.102131308213515
100.0,1.736510313489358,-0.07330351430282417,0.0,0.0,0.0,0.0,0.9933150903586393,0.0,0.0,6.096685830455534
100.0,0.7463021606693373,3.9880244822274875,0.0,0.0,0.0,0.0,1.017697913184013,0.0,0.0,6.380048550334751
100.0,0.5580487873247616,4.937176917593511,0.0,0.0,0.0,0.0,1.0073827110441922,0.0,0.0,7.309255306252045
100.0,0.8721443535681273,2.0251329051025597,0.0,0.0,0.0,0.0,0.9016218787986919,-0.0,-0.0,7.965692673840078
100.0,1.6376402039743407,1.3078165228981116,0.0,0.0,0.0,0.0,1.1514550668963175,0.0,0.0,6.950298483330458
100.0,0.3400177997055669,8.554201411778449,0.0,0.0,0.0,0.0,0.9509064379870311,-0.0,-0.0,6.245471357238924
100.0,0.8883010801694973,3.9437593634782453,0.0,0.0,0.0,0.0,0.978847040879242,0.0,0.0,5.469965741963248
100.0,1.9214870623892946,-1.2054905912323006,0.0,0.0,0.0,0.0,1.1222749656691828,0.0,0.0,7.039776003918378
100.0,2.0868158172965816,-1.9475345946576448,0.0,0.0,0.0,0.0,1.0711886693756014,0.0,0.0,7.448108239971967
100.0,-0.23349124367733395,7.509767492998127,0.0,0.0,0.0,0.0,1.039611745290159,0.0,0.0,7.440046339372316
100.0,0.32764295253512316,5.997187022301365,0.0,0.0,0.0,0.0,1.128174984589263,0.0,0.0,7.388012699235204
100.0,1.4421598412494965,3.1401158239292983,0.0,0.0,0.0,0.0,1.1440700804932744,-0.0,-0.0,6.580366591322422
100.0,2.7585853321831486,-2.809855040474017,0.0,0.0,0.0,0.0,1.1263790099396827,-0.0,-0.0,6.114027412484706
100.0,-0.900081088051437,9.787191722436805,0.0,0.0,0.0,0.0,1.0285544016084907,0.0,0.0,7.233235803098278
100.0,0.56494223785556,2.3481616791874296,0.0,0.0,0.0,0.0,1.1148685991252685,-0.0,-0.0,6.8854138772495475
100.0,1.1501606352763951,1.1411159959610309,0.0,0.0,0.0,0.0,0.9327214361366318,-0.0,-0.0,6.36857015367682
100.0,1.1394765922392278,3.836222987171028,0.0,0.0,0.0,0.0,1.1296332451898004,0.0,0.0,6.992384080870105
100.0,-0.011516759336701399,5.898145573408696,0.0,0.0,0.0,0.0,0.9367254440216874,-0.0,-0.0,6.784126360141083
100.0,1.2257493077987422,2.5379603143916842,0.0,0.0,0.0,0.0,0.9507842882457793,0.0,0.0,8.071394636917619
100.0,0.6778136752466245,4.7731362955847905,0.0,0.0,0.0,0.0,1.028898832708253,0.0,0.0,7.778600659216333
100.0,0.6307707519818955,2.336761293618577,0.0,0.0,0.0,0.0,1.2132489628630536,0.0,0.0,6.469372038882206
100.0,1.5871588818810984,-1.5469095975305605,0.0,0.0,0.0,0.0,1.1227368646169897,-0.0,-0.0,7.973405377581701
100.0,0.1394159549207676,9.232930705515159,0.0,0.0,0.0,0.0,1.1201384288114995,-0.0,-0.0,6.861002350523334
100.0,1.1032828374382484,3.237295211799168,0.0,0.0,0.0,0.0,1.1112595526170843,-0.0,-0.0,6.932594773209606
100.0,1.6993882862279392,0.50978183247762,0.0,0.0,0.0,0.0,0.9587888669091211,-0.0,-0.0,7.692260057930285
100.0,0.8904608998114748,7.9656762606639475,0.0,0.0,0.0,0.0,1.2710398738377982,0.0,0.0,6.478747384975912
100.0,1.069563018981717,2.901081353552163,0.0,0.0,0.0,0.0,1.0178276322555915,-0.0,-0.0,7.352729384469482
100.0,-1.281581259580334,13.249483157202096,0.0,0.0,0.0,0.0,1.0239666413286548,0.0,0.0,7.515596741081726
100.0,0.1447163549902001,5.512547451131674,0.0,0.0,0.0,0.0,0.8794908536768523,-0.0,-0.0,6.490364045646366
100.0,2.017915711623265,-0.59396272506337,0.0,0.0,0.0,0.0,0.743826745666221,-0.0,-0.0,6.181973402425246
100.0,1.7092161542774684,0.5479612480285193,0.0,0.0,0.0,0.0,1.1742303445515032,-0.0,-0.0,6.887910678750951
100.0,0.6020209518271118,4.1433051472544635,0.0,0.0,0.0,0.0,1.219837750752012,-0.0,-0.0,6.829308078526661
100.0,1.1106648951540066,-0.5974505011993511,0.0,0.0,0.0,0.0,0.9966439066064142,0.0,0.0,7.867195164197275
100.0,2.5782482075989677,-4.660936107225877,0.0,0.0,0.0,0.0,1.0689780603908223,-0.0,-0.0,6.9681027295424345
