b_0,b_1,b_2,theta_00,theta_01,theta_02,theta_10,theta_11,theta_12,theta_20,theta_21,theta_22,sigma_00,sigma_01,sigma_02,sigma_10,sigma_11,sigma_12,sigma_20,sigma_21,sigma_22
rmse,0.041555158518001435,0.03370212112080794,0.0404585479828242,0.005539241514663369,0.0,0.0,0.0,0.00564781018431188,0.0,0.0,0.0,0.005475665173880837,0.015824732098696333,0.011333007639897065,0.011944468325773058,0.011333007639897065,0.01592448130458148,0.011215248041175043,0.011944468325773058,0.011215248041175043,0.016773040763888157
mae,0.0330261735744891,0.026802313658451392,0.03273012666552662,0.005098605915926861,0.0,0.0,0.0,0.005185649608667999,0.0,0.0,0.0,0.005035188279624237,0.012531766851075802,0.008931100220909989,0.00953965027866958,0.008931100220909989,0.012729633841961737,0.0088868000693556,0.00953965027866958,0.0088868000693556,0.01325683328703606
