b_0,b_1,b_2,b_3,theta_00,theta_01,theta_02,theta_03,theta_10,theta_11,theta_12,theta_13,theta_20,theta_21,theta_22,theta_23,theta_30,theta_31,theta_32,theta_33,sigma_sqrd_00,sigma_sqrd_01,sigma_sqrd_02,sigma_sqrd_03,sigma_sqrd_10,sigma_sqrd_11,sigma_sqrd_12,sigma_sqrd_13,sigma_sqrd_20,sigma_sqrd_21,sigma_sqrd_22,sigma_sqrd_23,sigma_sqrd_30,sigma_sqrd_31,sigma_sqrd_32,sigma_sqrd_33
-0.060140666937968205,0.8389218794394421,1.9101607716180664,3.3804807944173785,0.40814918164064395,0.19906250222156524,0.21889300014440702,0.21657227824775066,0.19906250222156524,0.515354343268786,0.30397264809013447,0.3052417703769099,0.21889300014440702,0.30397264809013447,0.6040528454322626,0.40786464585970905,0.21657227824775066,0.3052417703769099,0.40786464585970905,0.6859512322519438,1.0182736316629495,0.0,0.0,0.0,0.0,0.06438165818721057,0.0,0.0,0.0,0.0,0.9948955729978134,-0.0,0.0,0.0,-0.0,0.22911645888941184
-0.015486421390331812,0.980230586057224,1.8833920027069428,3.163228605254699,0.408076689884542,0.20455752834228552,0.19423808274016785,0.19934996225050025,0.20455752834228552,0.5377246516272614,0.3166042870350547,0.3173518624335353,0.19423808274016785,0.3166042870350547,0.603641950626846,0.4158661671588891,0.19934996225050025,0.3173518624335353,0.4158661671588891,0.7640047101134407,1.007913749019004,0.0,0.0,0.0,0.0,0.06463697280438845,-0.0,0.0,0.0,-0.0,0.9931846754183489,-0.0,0.0,0.0,-0.0,0.22827256634560456
-0.034318288055167734,0.994380192469108,1.8349361392702885,3.20973088684164,0.41100325761400425,0.20601081741003674,0.22292885150181702,0.21275407695356935,0.20601081741003674,0.5384144329603129,0.31350642165062514,0.3073161364315926,0.22292885150181702,0.31350642165062514,0.5962559574747223,0.393837290052321,0.21275407695356935,0.3073161364315926,0.393837290052321,0.7192560204525275,1.0129622595917283,0.0,0.0,0.0,0.0,0.06512659522115574,-0.0,0.0,0.0,-0.0,0.995690328946088,-0.0,0.0,0.0,-0.0,0.22866993465457966
-0.002074390834810117,1.0299743717471594,2.3200665710653263,2.632652566295821,0.3975167081523155,0.1918958067288567,0.19299380295037533,0.18914485885059817,0.1918958067288567,0.5071888814771455,0.30511725052071403,0.3021737129697366,0.19299380295037533,0.30511725052071403,0.5941561416961896,0.40942967126211827,0.18914485885059817,0.3021737129697366,0.40942967126211827,0.6934963680572063,1.0145781568241727,0.0,0.0,0.0,0.0,0.0650330253497931,0.0,0.0,0.0,0.0,0.9937186159717911,-0.0,0.0,0.0,-0.0,0.22924847196214138
-0.01127843064115465,1.0147518794713188,1.9390661697734655,3.0433665121233897,0.3965332188678346,0.19073901427124862,0.19100847775324079,0.1923025636987535,0.19073901427124862,0.5029421021404191,0.29688151647094785,0.30513171802979594,0.19100847775324079,0.29688151647094785,0.5825268116788348,0.3968611593023067,0.1923025636987535,0.30513171802979594,0.3968611593023067,0.7089975927187631,1.0085921593444613,0.0,0.0,0.0,0.0,0.06482895533262921,0.0,0.0,0.0,0.0,0.9956525275089141,-0.0,0.0,0.0,-0.0,0.2291536071012461
-0.027365777031062632,0.9300594102255175,1.7145659114028242,3.416011846250555,0.4217092185748641,0.198994301089763,0.19750843946111724,0.21072892725858877,0.198994301089763,0.5005121697024585,0.2986882208682165,0.2967221494627207,0.19750843946111724,0.2986882208682165,0.6102593511611261,0.41834821786095466,0.21072892725858877,0.2967221494627207,0.41834821786095466,0.6873333343171839,1.0107182574565508,0.0,0.0,0.0,0.0,0.06456535416876474,0.0,0.0,0.0,0.0,0.9932913112021223,-0.0,0.0,0.0,-0.0,0.22922523960673208
-0.011219849225944495,0.972795002720042,1.5309479208623131,3.5253637790643366,0.4054815671852855,0.19324660184555809,0.19682282859840636,0.19099465907777763,0.19324660184555809,0.5020024387668435,0.2964084622811973,0.30689530460003644,0.19682282859840636,0.2964084622811973,0.5831066648682945,0.3977526677074701,0.19099465907777763,0.30689530460003644,0.3977526677074701,0.7027413697789653,1.0172958514947077,0.0,0.0,0.0,0.0,0.06446939754634852,-0.0,0.0,0.0,-0.0,0.9914241453112335,-0.0,0.0,0.0,-0.0,0.2303747225134146
-0.02781408716461073,0.9737088019404506,2.0165983495032322,3.0545191150847137,0.3871100321426764,0.19134075838615344,0.20091660978594603,0.2027424063919469,0.19134075838615344,0.5158994114311554,0.308951326583945,0.31747369538330983,0.20091660978594603,0.308951326583945,0.6186097078905959,0.41370671764438693,0.2027424063919469,0.31747369538330983,0.41370671764438693,0.6974175693643763,1.005322770466224,0.0,0.0,0.0,0.0,0.06465213008633389,0.0,0.0,0.0,0.0,1.0015366590284047,-0.0,0.0,0.0,-0.0,0.23080522387540048
0.04369069321111539,1.0607902562306046,2.192084762705907,2.681930838872703,0.3583328146637749,0.19409109176032685,0.18694437342896153,0.1965315705264424,0.19409109176032685,0.5200024356172013,0.3061566886241982,0.31362243030391757,0.18694437342896153,0.3061566886241982,0.6027184989172705,0.4100001784174747,0.1965315705264424,0.31362243030391757,0.4100001784174747,0.7102884499613897,1.0141083825160362,0.0,0.0,0.0,0.0,0.0644021523366364,0.0,0.0,0.0,0.0,0.9973815185135502,-0.0,0.0,0.0,-0.0,0.228972760073661
-0.01953642660345973,0.9752553951594068,1.937038543076393,3.1186154732932345,0.4140058973785002,0.19514341317536207,0.19486962664338478,0.18808892460741156,0.19514341317536207,0.49852323091055184,0.29837768217968885,0.2904688922921641,0.19486962664338478,0.29837768217968885,0.5978306536673383,0.388832989004266,0.18808892460741156,0.2904688922921641,0.388832989004266,0.6966756205062629,1.0158908991859659,0.0,0.0,0.0,0.0,0.06485947355371281,-0.0,0.0,0.0,-0.0,0.9949740406492188,-0.0,0.0,0.0,-0.0,0.22629471452539057
