b_0,b_1,b_2,b_3,theta_00,theta_01,theta_02,theta_03,theta_10,theta_11,theta_12,theta_13,theta_20,theta_21,theta_22,theta_23,theta_30,theta_31,theta_32,theta_33,sigma_00,sigma_01,sigma_02,sigma_03,sigma_10,sigma_11,sigma_12,sigma_13,sigma_20,sigma_21,sigma_22,sigma_23,sigma_30,sigma_31,sigma_32,sigma_33
rmse,0.03781043833597789,0.06987269497265171,0.16365813329695814,0.24436299295345623,0.007164203978527719,0.0,0.0,0.0,0.0,0.004630026581013792,0.0,0.0,0.0,0.0,0.004328753506101016,0.0,0.0,0.0,0.0,0.021510558051427618,0.01588738363649339,0.007408478501363486,0.00968652175014253,0.010407133595806011,0.007408478501363486,0.02022746426811123,0.009233300490311316,0.010840908679085316,0.00968652175014253,0.009233300490311316,0.01664603998637992,0.014316286366289573,0.010407133595806011,0.010840908679085316,0.014316286366289573,0.025608058682496757
mae,0.030136269787198005,0.05519298670418986,0.1292104172499899,0.19337456313601561,0.006770477666835765,0.0,0.0,0.0,0.0,0.0045922812675885044,0.0,0.0,0.0,0.0,0.00377361542475112,0.0,0.0,0.0,0.0,0.021460778279490274,0.012710056871258722,0.005879667795125149,0.007755070062845312,0.00826558799126129,0.005879667795125149,0.01603693845647078,0.007281003701470497,0.00861343458574721,0.007755070062845312,0.007281003701470497,0.01360094837874058,0.011658281380019722,0.00826558799126129,0.00861343458574721,0.011658281380019722,0.02028929888944339
