b_0,b_1,b_2,b_3,theta_00,theta_01,theta_02,theta_03,theta_10,theta_11,theta_12,theta_13,theta_20,theta_21,theta_22,theta_23,theta_30,theta_31,theta_32,theta_33,sigma_00,sigma_01,sigma_02,sigma_03,sigma_10,sigma_11,sigma_12,sigma_13,sigma_20,sigma_21,sigma_22,sigma_23,sigma_30,sigma_31,sigma_32,sigma_33
rmse,0.03754272974963861,0.07135531966289893,0.16282174251231285,0.24429075803862407,0.015902801084803173,0.007836805688106078,0.0111485113550475,0.011368520916620576,0.007836805688106078,0.08205982922045234,0.019281504351486928,0.02116622779586933,0.0111485113550475,0.019281504351486928,0.031120810921667057,0.016133147602718185,0.011368520916620576,0.02116622779586933,0.016133147602718185,0.032124987794280475,0.06403539874397458,0.0,0.0,0.0,0.0,0.058061144784834734,0.0,0.0,0.0,0.0,0.01973781380786018,0.0,0.0,0.0,0.0,0.004584386846863697
mae,0.029788623601710706,0.05639287976214215,0.12886484435775086,0.19279019332910405,0.012678678544826355,0.0062258936069724815,0.008915335564742728,0.009128431528047804,0.0062258936069724815,0.08080064381357151,0.017457354789989776,0.01908102439776431,0.008915335564742728,0.017457354789989776,0.02749911562320781,0.013095982636378832,0.009128431528047804,0.01908102439776431,0.013095982636378832,0.02640616339342167,0.06354011324651421,0.0,0.0,0.0,0.0,0.0580160502353139,0.0,0.0,0.0,0.0,0.018261006989546143,0.0,0.0,0.0,0.0,0.003716589472472214
