b_0,b_1,b_2,theta_00,theta_01,theta_02,theta_10,theta_11,theta_12,theta_20,theta_21,theta_22,sigma_00,sigma_01,sigma_02,sigma_10,sigma_11,sigma_12,sigma_20,sigma_21,sigma_22
rmse,0.041885549658159056,0.03425944690632592,0.041358420470405444,0.022108306838587336,0.011909137540584926,0.01488024820226764,0.011909137540584926,0.022008672713436546,0.012199441758883907,0.01488024820226764,0.012199441758883907,0.021450226881291178,0.05575272226572094,0.0,0.0,0.0,0.05547264346221281,0.0,0.0,0.0,0.05597956305101401
mae,0.033324255356349496,0.027427121248690355,0.03304101092449684,0.018219421078087876,0.009466162131819328,0.012198239979058698,0.009466162131819328,0.018261032377372116,0.01004606399860605,0.012198239979058698,0.01004606399860605,0.017561487182731823,0.055179691024993024,0.0,0.0,0.0,0.05491817317155466,0.0,0.0,0.0,0.05544438644729062
