b_0,b_1,b_2,theta_00,theta_01,theta_02,theta_10,theta_11,theta_12,theta_20,theta_21,theta_22,sigma_00,sigma_01,sigma_02,sigma_10,sigma_11,sigma_12,sigma_20,sigma_21,sigma_22
rmse,0.001326565409767035,0.0010839678443736265,0.0013081892564507421,0.02211706481652379,0.01190956865178334,0.014876087994590463,0.01190956865178334,0.022007658293204325,0.012197339525921698,0.014876087994590463,0.012197339525921698,0.021447197997737397,0.061233090000936866,0.0,0.0,0.0,0.05997134485307012,0.0,0.0,0.0,0.060541707713086666
mae,0.0010553351259216818,0.0008680948531562028,0.0010449300977988423,0.018228937954995823,0.009468728341182729,0.012195243357510778,0.009468728341182729,0.018261596662633914,0.010043714586360006,0.012195243357510778,0.010043714586360006,0.01755654444585046,0.057083293289248584,0.0,0.0,0.0,0.05588217004195497,0.0,0.0,0.0,0.05617512683033963
