b_0,b_1,b_2,theta_00,theta_01,theta_02,theta_10,theta_11,theta_12,theta_20,theta_21,theta_22,sigma_00,sigma_01,sigma_02,sigma_10,sigma_11,sigma_12,sigma_20,sigma_21,sigma_22
rmse,0.041872788961971996,0.03345325763708064,0.08692395151390184,0.02111025862320425,0.011328359421967433,0.008903805427922589,0.011328359421967433,0.020565973895597528,0.009665759345950799,0.008903805427922589,0.009665759345950799,0.02326346085819923,0.10078544317162992,0.0,0.0,0.0,0.0600268772804552,0.0,0.0,0.0,0.05040889601994821
mae,0.03344173911569775,0.026284444839095016,0.06926896025398128,0.017106843455073132,0.008939081714612713,0.007207952649044525,0.008939081714612713,0.016817532078800483,0.0077963608832324486,0.007207952649044525,0.0077963608832324486,0.019587487708067695,0.09987960541658522,0.0,0.0,0.0,0.0590172696907935,0.0,0.0,0.0,0.04966470565733632
