b_0,b_1,theta_00,theta_01,theta_10,theta_11,sigma_00,sigma_01,sigma_10,sigma_11
0.5 rmse,0.030845342299512753,0.05377373184152982,0.015914400091259395,0.010222713579341233,0.010222713579341233,0.012812233553166083,0.005522387494094416,0.0,0.0,0.003831518891560904
0.5 mae,0.024741446974260048,0.042397546244073915,0.012818525444937105,0.008093853523897517,0.008093853523897517,0.010162117497974415,0.005080527988622257,0.0,0.0,0.0032589944683125796
0.35 rmse,0.008990056241191055,0.014730853396688004,0.01706617020794857,0.010463160678455825,0.010463160678455825,0.014134907674393961,0.008936909887367216,0.0,0.0,0.0057368670462070925
0.35 mae,0.007206474203608303,0.01176235819399492,0.013758632297550612,0.008459879684648473,0.008459879684648473,0.01120068713201407,0.008621666383738711,0.0,0.0,0.005220144753849017
0.6 rmse,0.07172387354191492,0.11931652588028879,0.017345517537514104,0.009885186856399018,0.009885186856399018,0.012612865425927376,0.0032393971220874783,0.0,0.0,0.003195281230601888
0.6 mae,0.057538716347036674,0.09552689689053268,0.014091461521754122,0.007940165041088817,0.007940165041088817,0.010014336499909826,0.002652926865937725,0.0,0.0,0.0026225258474696428
0.8 rmse,0.37769586033083596,0.6277996369473278,0.03292017273110758,0.013834482746421203,0.013834482746421203,0.018942168021266276,0.0687169925777385,0.0,0.0,0.05736897265409149
0.8 mae,0.3030434870645791,0.5017898143351174,0.026970093550089752,0.011020187855873028,0.011020187855873028,0.015285071030053643,0.06865620339736596,0.0,0.0,0.05728616919432643
