b_0,b_1,theta_00,theta_01,theta_10,theta_11,sigma_00,sigma_01,sigma_10,sigma_11
0.5 rmse,0.040151195608629224,0.11565547233543401,0.015944975358578826,0.007810420616188912,0.007810420616188912,0.01264856220133318,0.005870917813433277,0.0,0.0,0.007514122891690676
0.5 mae,0.03204840509660171,0.09111833851274186,0.01282665485605823,0.006207280820589346,0.006207280820589346,0.010072226871855832,0.005448845447839491,0.0,0.0,0.006362041278329283
0.35 rmse,0.011619764145734493,0.03179143230488527,0.017154716846772475,0.008180356876679108,0.008180356876679108,0.01416620992823727,0.009057031471134252,0.0,0.0,0.011399723735346012
0.35 mae,0.009258718745867867,0.02544243596083817,0.01384878911424647,0.006631990064342933,0.006631990064342933,0.01123513943453472,0.008745612470220826,0.0,0.0,0.01036119726702906
0.6 rmse,0.09216509696924502,0.25687470448897864,0.017280748810975625,0.00764562420437422,0.00764562420437422,0.012470109879019208,0.002745793165330222,0.0,0.0,0.006578273735759901
0.6 mae,0.0724723642080784,0.2052221672519198,0.01402832294385625,0.006150935495019179,0.006150935495019179,0.009913962423133112,0.0021876238931245995,0.0,0.0,0.005418857448471617
0.8 rmse,0.48149716360128114,1.3493346109077293,0.03146468895247231,0.0109800111805399,0.0109800111805399,0.01871115458504073,0.06536382398419327,0.0,0.0,0.11487325994597003
0.8 mae,0.37633281405372593,1.0725705481556056,0.025673838528716637,0.008747934121739648,0.008747934121739648,0.015164343303594426,0.06529917298411772,0.0,0.0,0.11470873035965758
